FINAL,ID,X3vcf,POP
HG00737,1242,HG00737,Puerto Rican
HG01048,1263,HG01048,Puerto Rican
HG01054,1267,HG01054,Puerto Rican
HG01079,1282,HG01079,Puerto Rican
HG01139,1316,HG01139,Colombian
HG01167,1324,HG01167,Puerto Rican
HG01173,1328,HG01173,Puerto Rican
HG01174,1329,HG01174,Puerto Rican
HG01177,1331,HG01177,Puerto Rican
HG01183,1333,HG01183,Puerto Rican
HG01254,1350,HG01254,Colombian
HG01354,1382,HG01354,Colombian
HG01356,1383,HG01356,Colombian
HG01365,1389,HG01365,Colombian
HG01377,1395,HG01377,Colombian
HG01437,1415,HG01437,Colombian
HG01441,1418,HG01441,Colombian
HG01455,1422,HG01455,Colombian
HG01513,1452,HG01513,Iberian
HG01515,1453,HG01515,Iberian
HG01518,1455,HG01518,Iberian
HG01530,1463,HG01530,Iberian
HG01620,1499,HG01620,Iberian
HG01623,1500,HG01623,Iberian
HG01694,1522,HG01694,Iberian
HG01708,1531,HG01708,Iberian
HG01710,1533,HG01710,Iberian
HG01746,1534,HG01746,Iberian
HG01756,1536,HG01756,Iberian
HG01761,1538,HG01761,Iberian
HG01773,1546,HG01773,Iberian
HG01779,1550,HG01779,Iberian
HG01918,1631,HG01918,Peruvian
HG01944,1646,HG01944,Peruvian
HG01970,1660,HG01970,Peruvian
HG01973,1662,HG01973,Peruvian
HG02105,1733,HG02105,Peruvian
HG02239,1797,HG02239,Iberian
HG02272,1809,HG02272,Peruvian
HG02299,1823,HG02299,Peruvian
HG02922,2073,HG02922,Esan
HG02923,2074,HG02923,Esan
HG02944,2078,HG02944,Esan
HG02971,2085,HG02971,Esan
HG03054,2115,HG03054,Mende
HG03055,2116,HG03055,Mende
HG03058,2118,HG03058,Mende
HG03061,2120,HG03061,Mende
HG03069,2124,HG03069,Mende
HG03073,2126,HG03073,Mende
HG03082,2132,HG03082,Mende
HG03088,2136,HG03088,Mende
HG03095,2138,HG03095,Mende
HG03112,2148,HG03112,Esan
HG03114,2149,HG03114,Esan
HG03123,2155,HG03123,Esan
HG03127,2158,HG03127,Esan
HG03130,2160,HG03130,Esan
HG03162,2169,HG03162,Esan
HG03195,2180,HG03195,Esan
HG03199,2183,HG03199,Esan
HG03212,2186,HG03212,Mende
HG03225,2188,HG03225,Mende
HG03270,2204,HG03270,Esan
HG03271,2205,HG03271,Esan
HG03279,2206,HG03279,Esan
HG03295,2210,HG03295,Esan
HG03297,2211,HG03297,Esan
HG03313,2218,HG03313,Esan
HG03369,2227,HG03369,Esan
HG03380,2232,HG03380,Mende
HG03388,2235,HG03388,Mende
HG03428,2244,HG03428,Mende
HG03442,2251,HG03442,Mende
HG03446,2253,HG03446,Mende
HG03458,2259,HG03458,Mende
HG03472,2266,HG03472,Mende
HG03518,2281,HG03518,Esan
HG03559,2292,HG03559,Mende
HGDP00099,276,HGDP00099,Hazara
HGDP00100,272,HGDP00100,Hazara
HGDP00102,557,HGDP00102,Hazara
HGDP00103,60,HGDP00103,Hazara
HGDP00104,298,HGDP00104,Hazara
HGDP00105,67,HGDP00105,Hazara
HGDP00106,335,HGDP00106,Hazara
HGDP00108,286,HGDP00108,Hazara
HGDP00109,289,HGDP00109,Hazara
HGDP00110,332,HGDP00110,Hazara
HGDP00115,287,HGDP00115,Hazara
HGDP00118,134,HGDP00118,Hazara
HGDP00120,560,HGDP00120,Hazara
HGDP00121,584,HGDP00121,Hazara
HGDP00122,526,HGDP00122,Hazara
HGDP00127,68,HGDP00127,Hazara
HGDP00129,545,HGDP00129,Hazara
HGDP00213,88,HGDP00213,Pathan
HGDP00214,51,HGDP00214,Pathan
HGDP00218,111,HGDP00218,Pathan
HGDP00222,785,HGDP00222,Pathan
HGDP00224,349,HGDP00224,Pathan
HGDP00226,402,HGDP00226,Pathan
HGDP00228,376,HGDP00228,Pathan
HGDP00234,329,HGDP00234,Pathan
HGDP00237,724,HGDP00237,Pathan
HGDP00239,344,HGDP00239,Pathan
HGDP00241,530,HGDP00241,Pathan
HGDP00243,359,HGDP00243,Pathan
HGDP00244,371,HGDP00244,Pathan
HGDP00247,354,HGDP00247,Pathan
HGDP00248,527,HGDP00248,Pathan
HGDP00251,399,HGDP00251,Pathan
HGDP00254,528,HGDP00254,Pathan
HGDP00258,364,HGDP00258,Pathan
HGDP00259,591,HGDP00259,Pathan
HGDP00264,377,HGDP00264,Pathan
HGDP00274,776,HGDP00274,Kalash
HGDP00277,372,HGDP00277,Kalash
HGDP00279,93,HGDP00279,Kalash
HGDP00281,777,HGDP00281,Kalash
HGDP00285,336,HGDP00285,Kalash
HGDP00288,97,HGDP00288,Kalash
HGDP00290,378,HGDP00290,Kalash
HGDP00298,397,HGDP00298,Kalash
HGDP00302,748,HGDP00302,Kalash
HGDP00304,350,HGDP00304,Kalash
HGDP00307,589,HGDP00307,Kalash
HGDP00309,403,HGDP00309,Kalash
HGDP00311,619,HGDP00311,Kalash
HGDP00313,342,HGDP00313,Kalash
HGDP00315,365,HGDP00315,Kalash
HGDP00319,153,HGDP00319,Kalash
HGDP00326,559,HGDP00326,Kalash
HGDP00330,379,HGDP00330,Kalash
HGDP00333,562,HGDP00333,Kalash
HGDP00511,420,HGDP00511,French
HGDP00512,406,HGDP00512,French
HGDP00513,414,HGDP00513,French
HGDP00514,483,HGDP00514,French
HGDP00515,452,HGDP00515,French
HGDP00516,444,HGDP00516,French
HGDP00517,474,HGDP00517,French
HGDP00518,437,HGDP00518,French
HGDP00519,405,HGDP00519,French
HGDP00520,432,HGDP00520,French
HGDP00522,434,HGDP00522,French
HGDP00524,419,HGDP00524,French
HGDP00527,417,HGDP00527,French
HGDP00528,442,HGDP00528,French
HGDP00531,440,HGDP00531,French
HGDP00535,435,HGDP00535,French
HGDP00536,385,HGDP00536,French
HGDP00537,441,HGDP00537,French
HGDP00538,455,HGDP00538,French
HGDP00539,386,HGDP00539,French
HGDP00667,564,HGDP00667,Sardinian
HGDP00668,514,HGDP00668,Sardinian
HGDP00669,620,HGDP00669,Sardinian
HGDP00670,505,HGDP00670,Sardinian
HGDP00671,482,HGDP00671,Sardinian
HGDP00673,610,HGDP00673,Sardinian
HGDP00674,523,HGDP00674,Sardinian
HGDP00879,395,HGDP00879,Russian
HGDP00880,413,HGDP00880,Russian
HGDP00881,481,HGDP00881,Russian
HGDP00882,454,HGDP00882,Russian
HGDP00883,451,HGDP00883,Russian
HGDP00884,463,HGDP00884,Russian
HGDP00885,476,HGDP00885,Russian
HGDP00886,428,HGDP00886,Russian
HGDP00888,479,HGDP00888,Russian
HGDP00889,465,HGDP00889,Russian
HGDP00891,447,HGDP00891,Russian
HGDP00893,472,HGDP00893,Russian
HGDP00894,485,HGDP00894,Russian
HGDP00896,467,HGDP00896,Russian
HGDP00897,473,HGDP00897,Russian
HGDP00898,416,HGDP00898,Russian
HGDP00899,425,HGDP00899,Russian
HGDP00900,415,HGDP00900,Russian
HGDP00901,426,HGDP00901,Russian
HGDP00902,400,HGDP00902,Russian
HGDP00904,15,HGDP00904,Mandenka
HGDP00905,56,HGDP00905,Mandenka
HGDP00906,680,HGDP00906,Mandenka
HGDP00907,25,HGDP00907,Mandenka
HGDP00908,27,HGDP00908,Mandenka
HGDP00909,602,HGDP00909,Mandenka
HGDP00910,49,HGDP00910,Mandenka
HGDP00911,29,HGDP00911,Mandenka
HGDP00912,573,HGDP00912,Mandenka
HGDP00913,751,HGDP00913,Mandenka
HGDP00914,19,HGDP00914,Mandenka
HGDP00917,178,HGDP00917,Mandenka
HGDP00918,47,HGDP00918,Mandenka
HGDP01062,787,HGDP01062,Sardinian
HGDP01063,572,HGDP01063,Sardinian
HGDP01064,797,HGDP01064,Sardinian
HGDP01065,494,HGDP01065,Sardinian
HGDP01066,497,HGDP01066,Sardinian
HGDP01067,579,HGDP01067,Sardinian
HGDP01068,524,HGDP01068,Sardinian
HGDP01069,581,HGDP01069,Sardinian
HGDP01070,536,HGDP01070,Sardinian
HGDP01072,621,HGDP01072,Sardinian
HGDP01074,480,HGDP01074,Sardinian
HGDP01075,531,HGDP01075,Sardinian
HGDP01077,694,HGDP01077,Sardinian
HGDP01200,16,HGDP01200,Mandenka
HGDP01201,0,HGDP01201,Mandenka
HGDP01202,26,HGDP01202,Mandenka
HGDP01254,641,HGDP01254,Mozabite
HGDP01255,146,HGDP01255,Mozabite
HGDP01256,127,HGDP01256,Mozabite
HGDP01257,83,HGDP01257,Mozabite
HGDP01258,752,HGDP01258,Mozabite
HGDP01260,635,HGDP01260,Mozabite
HGDP01261,757,HGDP01261,Mozabite
HGDP01263,778,HGDP01263,Mozabite
HGDP01264,759,HGDP01264,Mozabite
HGDP01265,795,HGDP01265,Mozabite
HGDP01266,794,HGDP01266,Mozabite
HGDP01268,616,HGDP01268,Mozabite
HGDP01269,577,HGDP01269,Mozabite
HGDP01270,672,HGDP01270,Mozabite
HGDP01275,707,HGDP01275,Mozabite
HGDP01277,598,HGDP01277,Mozabite
HGDP01279,799,HGDP01279,Mozabite
HGDP01280,756,HGDP01280,Mozabite
HGDP01282,682,HGDP01282,Mozabite
HGDP01283,45,HGDP01283,Mandenka
HGDP01285,65,HGDP01285,Mandenka
HGDP01357,409,HGDP01357,Basque
HGDP01358,375,HGDP01358,Basque
HGDP01359,381,HGDP01359,Basque
HGDP01360,431,HGDP01360,Basque
HGDP01361,355,HGDP01361,Basque
HGDP01362,449,HGDP01362,Basque
HGDP01363,418,HGDP01363,Basque
HGDP01366,535,HGDP01366,Basque
HGDP01367,503,HGDP01367,Basque
HGDP01368,10,HGDP01368,Basque
HGDP01370,693,HGDP01370,Basque
HGDP01372,704,HGDP01372,Basque
HGDP01373,683,HGDP01373,Basque
HGDP01374,767,HGDP01374,Basque
HGDP01376,464,HGDP01376,Basque
HGDP01377,718,HGDP01377,Basque
HGDP01378,638,HGDP01378,Basque
HGDP01379,611,HGDP01379,Basque
HGDP01380,749,HGDP01380,Basque
HGDP01382,461,HGDP01382,Adygei
HGDP01383,101,HGDP01383,Adygei
HGDP01384,424,HGDP01384,Adygei
