FINAL,X3vcf,POP
HG00552,HG00552,Puerto Rican
HG00737,HG00737,Puerto Rican
HG00741,HG00741,Puerto Rican
HG01048,HG01048,Puerto Rican
HG01050,HG01050,Puerto Rican
HG01054,HG01054,Puerto Rican
HG01062,HG01062,Puerto Rican
HG01079,HG01079,Puerto Rican
HG01103,HG01103,Puerto Rican
HG01139,HG01139,Colombian
HG01167,HG01167,Puerto Rican
HG01173,HG01173,Puerto Rican
HG01174,HG01174,Puerto Rican
HG01177,HG01177,Puerto Rican
HG01183,HG01183,Puerto Rican
HG01184,HG01184,Puerto Rican
HG01243,HG01243,Puerto Rican
HG01252,HG01252,Colombian
HG01254,HG01254,Colombian
HG01276,HG01276,Colombian
HG01343,HG01343,Colombian
HG01347,HG01347,Colombian
HG01354,HG01354,Colombian
HG01356,HG01356,Colombian
HG01365,HG01365,Colombian
HG01367,HG01367,Colombian
HG01377,HG01377,Colombian
HG01437,HG01437,Colombian
HG01441,HG01441,Colombian
HG01455,HG01455,Colombian
HG01511,HG01511,Iberian
HG01513,HG01513,Iberian
HG01515,HG01515,Iberian
HG01518,HG01518,Iberian
HG01530,HG01530,Iberian
HG01620,HG01620,Iberian
HG01623,HG01623,Iberian
HG01629,HG01629,Iberian
HG01677,HG01677,Iberian
HG01694,HG01694,Iberian
HG01708,HG01708,Iberian
HG01710,HG01710,Iberian
HG01746,HG01746,Iberian
HG01756,HG01756,Iberian
HG01761,HG01761,Iberian
HG01773,HG01773,Iberian
HG01779,HG01779,Iberian
HG01898,HG01898,Peruvian
HG01918,HG01918,Peruvian
HG01919,HG01919,Peruvian
HG01934,HG01934,Peruvian
HG01937,HG01937,Peruvian
HG01943,HG01943,Peruvian
HG01944,HG01944,Peruvian
HG01949,HG01949,Peruvian
HG01970,HG01970,Peruvian
HG01973,HG01973,Peruvian
HG01998,HG01998,Peruvian
HG02105,HG02105,Peruvian
HG02237,HG02237,Iberian
HG02239,HG02239,Iberian
HG02272,HG02272,Peruvian
HG02299,HG02299,Peruvian
HG02300,HG02300,Peruvian
HG02303,HG02303,Peruvian
HG02922,HG02922,Esan
HG02923,HG02923,Esan
HG02944,HG02944,Esan
HG02971,HG02971,Esan
HG03054,HG03054,Mende
HG03055,HG03055,Mende
HG03058,HG03058,Mende
HG03061,HG03061,Mende
HG03069,HG03069,Mende
HG03073,HG03073,Mende
HG03082,HG03082,Mende
HG03088,HG03088,Mende
HG03095,HG03095,Mende
HG03112,HG03112,Esan
HG03114,HG03114,Esan
HG03123,HG03123,Esan
HG03127,HG03127,Esan
HG03130,HG03130,Esan
HG03162,HG03162,Esan
HG03195,HG03195,Esan
HG03199,HG03199,Esan
HG03212,HG03212,Mende
HG03225,HG03225,Mende
HG03270,HG03270,Esan
HG03271,HG03271,Esan
HG03279,HG03279,Esan
HG03295,HG03295,Esan
HG03297,HG03297,Esan
HG03313,HG03313,Esan
HG03369,HG03369,Esan
HG03380,HG03380,Mende
HG03388,HG03388,Mende
HG03428,HG03428,Mende
HG03442,HG03442,Mende
HG03446,HG03446,Mende
HG03458,HG03458,Mende
HG03472,HG03472,Mende
HG03518,HG03518,Esan
HG03559,HG03559,Mende
HGDP00099,HGDP00099,Hazara
HGDP00100,HGDP00100,Hazara
HGDP00102,HGDP00102,Hazara
HGDP00103,HGDP00103,Hazara
HGDP00104,HGDP00104,Hazara
HGDP00105,HGDP00105,Hazara
HGDP00106,HGDP00106,Hazara
HGDP00108,HGDP00108,Hazara
HGDP00109,HGDP00109,Hazara
HGDP00110,HGDP00110,Hazara
HGDP00115,HGDP00115,Hazara
HGDP00118,HGDP00118,Hazara
HGDP00120,HGDP00120,Hazara
HGDP00121,HGDP00121,Hazara
HGDP00122,HGDP00122,Hazara
HGDP00127,HGDP00127,Hazara
HGDP00129,HGDP00129,Hazara
HGDP00213,HGDP00213,Pathan
HGDP00214,HGDP00214,Pathan
HGDP00218,HGDP00218,Pathan
HGDP00222,HGDP00222,Pathan
HGDP00224,HGDP00224,Pathan
HGDP00226,HGDP00226,Pathan
HGDP00228,HGDP00228,Pathan
HGDP00234,HGDP00234,Pathan
HGDP00237,HGDP00237,Pathan
HGDP00239,HGDP00239,Pathan
HGDP00241,HGDP00241,Pathan
HGDP00243,HGDP00243,Pathan
HGDP00244,HGDP00244,Pathan
HGDP00247,HGDP00247,Pathan
HGDP00248,HGDP00248,Pathan
HGDP00251,HGDP00251,Pathan
HGDP00254,HGDP00254,Pathan
HGDP00258,HGDP00258,Pathan
HGDP00259,HGDP00259,Pathan
HGDP00264,HGDP00264,Pathan
HGDP00274,HGDP00274,Kalash
HGDP00277,HGDP00277,Kalash
HGDP00279,HGDP00279,Kalash
HGDP00281,HGDP00281,Kalash
HGDP00285,HGDP00285,Kalash
HGDP00288,HGDP00288,Kalash
HGDP00290,HGDP00290,Kalash
HGDP00298,HGDP00298,Kalash
HGDP00302,HGDP00302,Kalash
HGDP00304,HGDP00304,Kalash
HGDP00307,HGDP00307,Kalash
HGDP00309,HGDP00309,Kalash
HGDP00311,HGDP00311,Kalash
HGDP00313,HGDP00313,Kalash
HGDP00315,HGDP00315,Kalash
HGDP00319,HGDP00319,Kalash
HGDP00326,HGDP00326,Kalash
HGDP00330,HGDP00330,Kalash
HGDP00333,HGDP00333,Kalash
HGDP00511,HGDP00511,French
HGDP00512,HGDP00512,French
HGDP00513,HGDP00513,French
HGDP00514,HGDP00514,French
HGDP00515,HGDP00515,French
HGDP00516,HGDP00516,French
HGDP00517,HGDP00517,French
HGDP00518,HGDP00518,French
HGDP00519,HGDP00519,French
HGDP00520,HGDP00520,French
HGDP00522,HGDP00522,French
HGDP00524,HGDP00524,French
HGDP00527,HGDP00527,French
HGDP00528,HGDP00528,French
HGDP00531,HGDP00531,French
HGDP00535,HGDP00535,French
HGDP00536,HGDP00536,French
HGDP00537,HGDP00537,French
HGDP00538,HGDP00538,French
HGDP00539,HGDP00539,French
HGDP00667,HGDP00667,Sardinian
HGDP00668,HGDP00668,Sardinian
HGDP00669,HGDP00669,Sardinian
HGDP00670,HGDP00670,Sardinian
HGDP00671,HGDP00671,Sardinian
HGDP00673,HGDP00673,Sardinian
HGDP00674,HGDP00674,Sardinian
HGDP00879,HGDP00879,Russian
HGDP00880,HGDP00880,Russian
HGDP00881,HGDP00881,Russian
HGDP00882,HGDP00882,Russian
HGDP00883,HGDP00883,Russian
HGDP00884,HGDP00884,Russian
HGDP00885,HGDP00885,Russian
HGDP00886,HGDP00886,Russian
HGDP00888,HGDP00888,Russian
HGDP00889,HGDP00889,Russian
HGDP00891,HGDP00891,Russian
HGDP00893,HGDP00893,Russian
HGDP00894,HGDP00894,Russian
HGDP00896,HGDP00896,Russian
HGDP00897,HGDP00897,Russian
HGDP00898,HGDP00898,Russian
HGDP00899,HGDP00899,Russian
HGDP00900,HGDP00900,Russian
HGDP00901,HGDP00901,Russian
HGDP00902,HGDP00902,Russian
HGDP00904,HGDP00904,Mandenka
HGDP00905,HGDP00905,Mandenka
HGDP00906,HGDP00906,Mandenka
HGDP00907,HGDP00907,Mandenka
HGDP00908,HGDP00908,Mandenka
HGDP00909,HGDP00909,Mandenka
HGDP00910,HGDP00910,Mandenka
HGDP00911,HGDP00911,Mandenka
HGDP00912,HGDP00912,Mandenka
HGDP00913,HGDP00913,Mandenka
HGDP00914,HGDP00914,Mandenka
HGDP00917,HGDP00917,Mandenka
HGDP00918,HGDP00918,Mandenka
HGDP01062,HGDP01062,Sardinian
HGDP01063,HGDP01063,Sardinian
HGDP01064,HGDP01064,Sardinian
HGDP01065,HGDP01065,Sardinian
HGDP01066,HGDP01066,Sardinian
HGDP01067,HGDP01067,Sardinian
HGDP01068,HGDP01068,Sardinian
HGDP01069,HGDP01069,Sardinian
HGDP01070,HGDP01070,Sardinian
HGDP01072,HGDP01072,Sardinian
HGDP01074,HGDP01074,Sardinian
HGDP01075,HGDP01075,Sardinian
HGDP01077,HGDP01077,Sardinian
HGDP01200,HGDP01200,Mandenka
HGDP01201,HGDP01201,Mandenka
HGDP01202,HGDP01202,Mandenka
HGDP01254,HGDP01254,Mozabite
HGDP01255,HGDP01255,Mozabite
HGDP01256,HGDP01256,Mozabite
HGDP01257,HGDP01257,Mozabite
HGDP01258,HGDP01258,Mozabite
HGDP01260,HGDP01260,Mozabite
HGDP01261,HGDP01261,Mozabite
HGDP01263,HGDP01263,Mozabite
HGDP01264,HGDP01264,Mozabite
HGDP01265,HGDP01265,Mozabite
HGDP01266,HGDP01266,Mozabite
HGDP01268,HGDP01268,Mozabite
HGDP01269,HGDP01269,Mozabite
HGDP01270,HGDP01270,Mozabite
HGDP01275,HGDP01275,Mozabite
HGDP01277,HGDP01277,Mozabite
HGDP01279,HGDP01279,Mozabite
HGDP01280,HGDP01280,Mozabite
HGDP01282,HGDP01282,Mozabite
HGDP01283,HGDP01283,Mandenka
HGDP01285,HGDP01285,Mandenka
HGDP01357,HGDP01357,Basque
HGDP01358,HGDP01358,Basque
HGDP01359,HGDP01359,Basque
HGDP01360,HGDP01360,Basque
HGDP01361,HGDP01361,Basque
HGDP01362,HGDP01362,Basque
HGDP01363,HGDP01363,Basque
HGDP01366,HGDP01366,Basque
HGDP01367,HGDP01367,Basque
HGDP01368,HGDP01368,Basque
HGDP01370,HGDP01370,Basque
HGDP01372,HGDP01372,Basque
HGDP01373,HGDP01373,Basque
HGDP01374,HGDP01374,Basque
HGDP01376,HGDP01376,Basque
HGDP01377,HGDP01377,Basque
HGDP01378,HGDP01378,Basque
HGDP01379,HGDP01379,Basque
HGDP01380,HGDP01380,Basque
HGDP01382,HGDP01382,Adygei
HGDP01383,HGDP01383,Adygei
HGDP01384,HGDP01384,Adygei
HGDP01385,HGDP01385,Adygei
HGDP01386,HGDP01386,Adygei
HGDP01387,HGDP01387,Adygei
HGDP01388,HGDP01388,Adygei
HGDP01396,HGDP01396,Adygei
HGDP01397,HGDP01397,Adygei
HGDP01398,HGDP01398,Adygei
HGDP01399,HGDP01399,Adygei
HGDP01400,HGDP01400,Adygei
HGDP01403,HGDP01403,Adygei
HGDP01404,HGDP01404,Adygei
NA07000,NA07000,CEPH
NA07045,NA07045,CEPH
NA11881,NA11881,CEPH
NA11917,NA11917,CEPH
NA11919,NA11919,CEPH
NA12005,NA12005,CEPH
NA12045,NA12045,CEPH
NA12046,NA12046,CEPH
NA12057,NA12057,CEPH
NA12146,NA12146,CEPH
NA12156,NA12156,CEPH
NA12274,NA12274,CEPH
NA12275,NA12275,CEPH
NA12376,NA12376,CEPH
NA12413,NA12413,CEPH
NA12767,NA12767,CEPH
NA12818,NA12818,CEPH
NA12864,NA12864,CEPH
NA12865,NA12865,CEPH
NA12873,NA12873,CEPH
NA19649,NA19649,Mexican Ancestry
NA19650,NA19650,Mexican Ancestry
NA19654,NA19654,Mexican Ancestry
NA19659,NA19659,Mexican Ancestry
NA19663,NA19663,Mexican Ancestry
NA19680,NA19680,Mexican Ancestry
NA19686,NA19686,Mexican Ancestry
NA19716,NA19716,Mexican Ancestry
NA19723,NA19723,Mexican Ancestry
NA19724,NA19724,Mexican Ancestry
NA19725,NA19725,Mexican Ancestry
NA19730,NA19730,Mexican Ancestry
NA19734,NA19734,Mexican Ancestry
NA19738,NA19738,Mexican Ancestry
NA19755,NA19755,Mexican Ancestry
NA19758,NA19758,Mexican Ancestry
NA19773,NA19773,Mexican Ancestry
NA19782,NA19782,Mexican Ancestry
NA19784,NA19784,Mexican Ancestry
NA19785,NA19785,Mexican Ancestry
