ID,FINAL
0,HGDP01201
1,HGDP00479
2,HGDP01408
3,HGDP00471
4,HGDP01411
5,HGDP00937
6,HGDP01189
7,HGDP01094
8,HGDP00469
9,HGDP00475
10,HGDP01368
11,HGDP00473
12,HGDP01405
13,HGDP00470
14,HGDP00458
15,HGDP00904
16,HGDP01200
17,HGDP00452
18,HGDP00459
19,HGDP00914
20,HGDP00942
21,HGDP01031
22,HGDP00944
23,HGDP01406
24,HGDP01216
25,HGDP00907
26,HGDP01202
27,HGDP00908
28,HGDP00940
29,HGDP00911
30,HGDP00464
31,HGDP00929
32,HGDP00986
33,HGDP01244
34,HGDP00941
35,HGDP00934
36,HGDP00462
37,HGDP00453
38,HGDP00935
39,HGDP00943
40,HGDP01412
41,HGDP01243
42,HGDP01299
43,HGDP00845
44,HGDP00994
45,HGDP01283
46,HGDP00993
47,HGDP00918
48,HGDP00985
49,HGDP00910
50,HGDP00135
51,HGDP00214
52,HGDP00655
53,HGDP01096
54,HGDP00472
55,HGDP00450
56,HGDP00905
57,HGDP01298
58,HGDP00715
59,HGDP00711
60,HGDP00103
61,HGDP00359
62,HGDP00788
63,HGDP00136
64,HGDP00541
65,HGDP01285
66,HGDP00491
67,HGDP00105
68,HGDP00127
69,HGDP00547
70,HGDP00463
71,HGDP00703
72,HGDP00580
73,HGDP00130
74,HGDP00167
75,HGDP00576
76,HGDP01385
77,HGDP00662
78,HGDP00948
79,HGDP00005
80,HGDP00163
81,HGDP00346
82,HGDP00609
83,HGDP01257
84,HGDP00608
85,HGDP00544
86,HGDP00714
87,HGDP00057
88,HGDP00213
89,HGDP00165
90,HGDP01300
91,HGDP00931
92,HGDP00466
93,HGDP00279
94,HGDP00945
95,HGDP00056
96,HGDP01050
97,HGDP00288
98,HGDP00562
99,HGDP01396
100,HGDP01009
101,HGDP01383
102,HGDP00341
103,HGDP01013
104,HGDP00543
105,HGDP00947
106,HGDP00723
107,HGDP00467
108,HGDP00545
109,HGDP00610
110,HGDP00001
111,HGDP00218
112,HGDP00933
113,HGDP00856
114,HGDP00062
115,HGDP01086
116,HGDP00710
117,HGDP01192
118,HGDP00009
119,HGDP00924
120,HGDP00550
