POP_1,POP_2,Valor
Colombian,Puerto_Rican,2.119634932
French,Sardinian,1.900295816
Bantu_Tswana,Khomani_San,1.840926104
British,Orcadian,1.827414003
Mbuti,Yemenite_Jew,1.536688682
Adygei,Russian,1.388610995
Basque,Sardinian,1.33324347
North_Ossetian,Russian,1.195442095
Northern_Han,Yakut,1.152697651
Bantu_Herero,Khomani_San,1.102906016
Bantu_South_Africa,Khomani_San,1.050227348
Esan,Mozabite,1.028805078
Druze,Russian,0.902413456
Palestinian,Russian,0.902413456
Juhoan_North,Khomani_San,0.881663031
Eskimo_Chaplin,Eskimo_Naukan,0.680047452
Tamil,Yakut,0.677888546
Telugu,Yakut,0.677888546
Pima,Yakut,0.589391806
Spanish,Yakut,0.554012479
Mexican_Ancestry,Yakut,0.551456823
Sardinian,Yakut,0.48742774
Eskimo_Sireniki,Yakut,0.379993613
Eskimo_Naukan,Yakut,0.322424134
