CLM       PUR       FRN       SAR       ADY       RUS       ESN       MZB       HZP       KLS       MAN       MSL       IBS       BAS       PEL       PTH       CEU       MXL
8,10      7,11      25,15     22,18     9,19      26,14     4,36      9,19      17,17     16,22     2,34      6,32      9,19      21,17     16,24     9,19      12,8      15,23
8,10      7,11      18,22     19,21     10,18     17,23     26,14     10,18     13,21     17,21     16,20     19,19     10,18     16,22     20,20     10,18     9,11      13,25
4,14      3,15      13,27     8,32      2,26      9,31      11,29     2,26      10,24     7,31      13,23     11,27     2,26      12,26     11,29     2,26      5,15      14,24
10,8      5,13      23,17     11,29     6,22      20,20     34,6      6,22      16,18     13,25     27,9      31,7      6,22      17,21     12,28     6,22      11,9      20,18
4,14      10,8      17,23     20,20     13,15     18,22     14,26     13,15     12,22     25,13     18,18     12,26     13,15     17,21     21,19     13,15     10,10     21,17
4,14      3,15      8,32      5,35      5,23      15,25     16,24     5,23      4,30      7,31      11,25     12,26     5,23      6,32      7,33      5,23      8,12      9,29
3,15      1,17      12,28     10,30     2,26      9,31      10,30     2,26      8,26      7,31      11,25     9,29      2,26      13,25     11,29     2,26      5,15      12,26
4,14      5,13      15,25     12,28     15,13     16,24     16,24     15,13     11,23     9,29      12,24     17,21     15,13     8,30      16,24     15,13     4,16      10,28
9,9       11,7      7,33      15,25     11,17     15,25     14,26     11,17     14,20     21,17     13,23     17,21     11,17     16,22     11,29     11,17     7,13      19,19
7,11      4,14      15,25     19,21     4,24      11,29     15,25     4,24      12,22     12,26     12,24     13,25     4,24      18,20     17,23     4,24      7,13      7,31
9,9       3,15      14,26     18,22     14,14     13,27     8,32      14,14     14,20     15,23     11,25     14,24     14,14     11,27     14,26     14,14     3,17      5,33
6,12      6,12      19,21     12,28     7,21      17,23     12,28     7,21      8,26      14,24     14,22     10,28     7,21      17,21     15,25     7,21      13,7      16,22
6,12      3,15      8,32      11,29     8,20      8,32      24,16     8,20      4,30      8,30      24,12     13,25     8,20      8,30      10,30     8,20      6,14      14,24
5,13      8,10      6,34      10,30     10,18     10,30     11,29     10,18     9,25      20,18     9,27      9,29      10,18     11,27     12,28     10,18     3,17      13,25
10,8      8,10      9,31      18,22     14,14     10,30     37,3      14,14     11,23     23,15     31,5      33,5      14,14     16,22     16,24     14,14     5,15      29,9
6,12      7,11      20,20     26,14     8,20      17,23     23,17     8,20      11,23     11,27     22,14     18,20     8,20      22,16     18,22     8,20      10,10     21,17
1,17      1,17      13,27     12,28     2,26      10,30     7,33      2,26      10,24     4,34      6,30      6,32      2,26      12,26     6,34      2,26      6,14      5,33
6,12      10,8      23,17     18,22     9,19      19,21     23,17     9,19      16,18     19,19     19,17     21,17     9,19      17,21     20,20     9,19      6,14      20,18
4,14      4,14      18,22     15,25     3,25      12,28     12,28     3,25      8,26      9,29      4,32      12,26     3,25      14,24     16,24     3,25      6,14      11,27
6,12      2,16      7,33      3,37      4,24      10,30     14,26     4,24      4,30      12,26     11,25     11,27     4,24      4,34      7,33      4,24      7,13      15,23
9,9       7,11      18,22     11,29     6,22      21,19     30,10     6,22      12,22     19,19     20,16     20,18     6,22      13,25     18,22     6,22      12,8      24,14
4,14      4,14      18,22     15,25     3,25      12,28     14,26     3,25      8,26      10,28     6,30      11,27     3,25      14,24     16,24     3,25      6,14      11,27
5,13      7,11      5,35      7,33      8,20      5,35      24,16     8,20      7,27      17,21     23,13     20,18     8,20      4,34      7,33      8,20      3,17      21,17
4,14      4,14      19,21     15,25     4,24      15,25     12,28     4,24      8,26      10,28     4,32      10,28     4,24      15,23     16,24     4,24      6,14      11,27
6,12      9,9       22,18     18,22     10,18     17,23     23,17     10,18     15,19     20,18     21,15     22,16     10,18     18,20     21,19     10,18     6,14      20,18
10,8      8,10      19,21     19,21     18,10     25,15     4,36      18,10     19,15     15,23     9,27      9,29      18,10     22,16     17,23     18,10     11,9      8,30
3,15      4,14      11,29     9,31      5,23      9,31      16,24     5,23      8,26      11,27     6,30      11,27     5,23      10,28     11,29     5,23      5,15      8,30
5,13      6,12      7,33      6,34      6,22      6,34      30,10     6,22      10,24     12,26     22,14     21,17     6,22      4,34      6,34      6,22      4,16      20,18
5,13      6,12      18,22     18,22     2,26      12,28     16,24     2,26      8,26      17,21     8,28      14,24     2,26      14,24     14,26     2,26      8,12      25,13
8,10      7,11      12,28     17,23     14,14     15,25     12,28     14,14     15,19     12,26     12,24     12,26     14,14     18,20     16,24     14,14     8,12      10,28
7,11      2,16      21,19     20,20     6,22      19,21     13,27     6,22      11,23     9,29      6,30      14,24     6,22      17,21     16,24     6,22      10,10     7,31
2,16      5,13      3,37      4,36      7,21      4,36      14,26     7,21      8,26      7,31      18,18     13,25     7,21      2,36      6,34      7,21      2,18      13,25
8,10      8,10      7,33      12,28     14,14     14,26     6,34      14,14     16,18     21,17     11,25     8,30      14,14     18,20     15,25     14,14     6,14      5,33
4,14      2,16      6,34      3,37      6,22      9,31      20,20     6,22      5,29      10,28     12,24     16,22     6,22      3,35      4,36      6,22      4,16      15,23
6,12      9,9       8,32      13,27     16,12     13,27     9,31      16,12     11,23     12,26     9,27      5,33      16,12     18,20     13,27     16,12     7,13      7,31
8,10      11,7      14,26     17,23     18,10     19,21     27,13     18,10     14,20     14,24     24,12     20,18     18,10     22,16     18,22     18,10     10,10     20,18
8,10      5,13      12,28     9,31      5,23      15,25     17,23     5,23      16,18     22,16     13,23     25,13     5,23      8,30      14,26     5,23      8,12      15,23
4,14      10,8      9,31      15,25     13,15     17,23     5,35      13,15     11,23     10,28     6,30      3,35      13,15     14,24     18,22     13,15     8,12      11,27
10,8      6,12      28,12     20,20     12,16     19,21     11,29     12,16     20,14     18,20     10,26     15,23     12,16     20,18     22,18     12,16     8,12      15,23
5,13      8,10      3,37      7,33      2,26      6,34      7,33      2,26      4,30      4,34      5,31      4,34      2,26      6,32      4,36      2,26      7,13      3,35
6,12      10,8      6,34      13,27     13,15     16,24     5,35      13,15     11,23     12,26     6,30      2,36      13,15     15,23     15,25     13,15     7,13      8,30
7,11      11,7      12,28     20,20     16,12     20,20     24,16     16,12     15,19     22,16     21,15     23,15     16,12     18,20     22,18     16,12     12,8      23,15
11,7      7,11      28,12     19,21     12,16     23,17     11,29     12,16     19,15     17,21     11,25     18,20     12,16     20,18     18,22     12,16     8,12      15,23
1,17      6,12      5,35      5,35      4,24      3,37      5,35      4,24      5,29      6,32      6,30      8,30      4,24      3,35      5,35      4,24      2,18      7,31
7,11      5,13      7,33      16,24     11,17     14,26     15,25     11,17     10,24     14,24     6,30      4,34      11,17     16,22     13,27     11,17     10,10     11,27
8,10      12,6      13,27     21,19     16,12     16,24     28,12     16,12     14,20     20,18     24,12     20,18     16,12     19,19     22,18     16,12     11,9      19,19
9,9       12,6      15,25     19,21     15,13     22,18     21,19     15,13     19,15     21,17     21,15     20,18     15,13     20,18     19,21     15,13     10,10     21,17
9,9       13,5      19,21     20,20     19,9      24,16     10,30     19,9      21,13     28,10     13,23     11,27     19,9      23,15     20,20     19,9      11,9      16,22
7,11      2,16      19,21     19,21     9,19      14,26     6,34      9,19      13,21     9,29      7,29      10,28     9,19      15,23     20,20     9,19      7,13      12,26
4,14      2,16      23,17     22,18     6,22      13,27     12,28     6,22      5,29      9,29      18,18     11,27     6,22      17,21     14,26     6,22      8,12      13,25
8,10      13,5      16,24     15,25     20,8      25,15     9,31      20,8      17,17     17,21     17,19     10,28     20,8      18,20     23,17     20,8      12,8      17,21
8,10      5,13      11,29     11,29     11,17     20,20     10,30     11,17     11,23     11,27     12,24     8,30      11,17     14,24     18,22     11,17     9,11      12,26
4,14      2,16      22,18     19,21     5,23      13,27     7,33      5,23      6,28      15,23     3,33      2,36      5,23      16,22     13,27     5,23      7,13      7,31
9,9       15,3      15,25     17,23     18,10     26,14     13,27     18,10     21,13     25,13     13,23     10,28     18,10     19,19     23,17     18,10     12,8      15,23
8,10      3,15      22,18     18,22     10,18     12,28     10,30     10,18     13,21     11,27     3,33      12,26     10,18     17,21     18,22     10,18     8,12      11,27
6,12      12,6      17,23     19,21     17,11     23,17     16,24     17,11     15,19     26,12     22,14     17,21     17,11     21,17     19,21     17,11     9,11      20,18
8,10      14,4      19,21     17,23     13,15     27,13     27,13     13,15     15,19     23,15     21,15     16,22     13,15     17,21     20,20     13,15     11,9      17,21
11,7      4,14      23,17     20,20     12,16     16,24     13,27     12,16     21,13     15,23     5,31      18,20     12,16     19,19     22,18     12,16     9,11      20,18
11,7      8,10      23,17     17,23     14,14     20,20     7,33      14,14     23,11     17,21     6,30      9,29      14,14     17,21     25,15     14,14     9,11      12,26
8,10      9,9       15,25     21,19     13,15     21,19     26,14     13,15     8,26      19,19     22,14     21,17     13,15     19,19     14,26     13,15     11,9      18,20
5,13      5,13      13,27     12,28     3,25      6,34      21,19     3,25      14,20     6,32      15,21     16,22     3,25      12,26     5,35      3,25      5,15      16,22
10,8      10,8      21,19     23,17     23,5      25,15     10,30     23,5      11,23     21,17     8,28      7,31      23,5      18,20     25,15     23,5      10,10     15,23
4,14      2,16      11,29     9,31      2,26      7,33      4,36      2,26      4,30      3,35      8,28      6,32      2,26      10,28     5,35      2,26      6,14      12,26
4,14      6,12      9,31      11,29     5,23      9,31      5,35      5,23      10,24     14,24     3,33      6,32      5,23      13,25     10,30     5,23      5,15      9,29
9,9       8,10      14,26     22,18     6,22      16,24     18,22     6,22      9,25      8,30      24,12     21,17     6,22      14,24     15,25     6,22      9,11      16,22
6,12      4,14      3,37      8,32      2,26      6,34      15,25     2,26      11,23     2,36      10,26     10,28     2,26      8,30      3,37      2,26      3,17      3,35
6,12      9,9       7,33      12,28     4,24      10,30     28,12     4,24      17,17     7,31      17,19     23,15     4,24      14,24     13,27     4,24      4,16      8,30
7,11      6,12      23,17     19,21     18,10     21,19     13,27     18,10     17,17     29,9      14,22     13,25     18,10     14,24     24,16     18,10     8,12      19,19
5,13      8,10      7,33      13,27     4,24      10,30     24,16     4,24      17,17     7,31      15,21     18,20     4,24      14,24     13,27     4,24      3,17      8,30
7,11      6,12      22,18     19,21     18,10     21,19     7,33      18,10     14,20     29,9      12,24     9,29      18,10     14,24     22,18     18,10     8,12      16,22
10,8      5,13      11,29     10,30     7,21      11,29     19,21     7,21      12,22     4,34      16,20     13,25     7,21      10,28     7,33      7,21      8,12      11,27
11,7      7,11      14,26     17,23     8,20      14,26     19,21     8,20      15,19     4,34      16,20     14,24     8,20      18,20     7,33      8,20      11,9      15,23
7,11      5,13      8,32      10,30     6,22      5,35      11,29     6,22      13,21     2,36      12,24     12,26     6,22      8,30      5,35      6,22      4,16      7,31
8,10      12,6      15,25     21,19     9,19      12,28     31,9      9,19      21,13     7,31      24,12     30,8      9,19      22,16     16,24     9,19      8,12      22,16
2,16      7,11      12,28     18,22     7,21      8,32      8,32      7,21      9,25      5,33      6,30      11,27     7,21      20,18     11,29     7,21      7,13      16,22
8,10      12,6      12,28     19,21     9,19      11,29     26,14     9,19      22,12     8,30      22,14     26,12     9,19      20,18     16,24     9,19      7,13      19,19
6,12      4,14      3,37      8,32      3,25      5,35      7,33      3,25      13,21     3,35      3,33      6,32      3,25      8,30      3,37      3,25      3,17      4,34
6,12      7,11      7,33      12,28     8,20      5,35      13,27     8,20      18,16     7,31      14,22     14,24     8,20      10,28     12,28     8,20      4,16      13,25
10,8      8,10      7,33      10,30     9,19      15,25     29,11     9,19      16,18     5,33      17,19     25,13     9,19      11,27     7,33      9,19      8,12      11,27
7,11      12,6      8,32      16,24     13,15     7,33      34,6      13,15     23,11     7,31      31,5      35,3      13,15     12,26     15,25     13,15     5,15      17,21
9,9       4,14      7,33      5,35      8,20      17,23     21,19     8,20      18,16     5,33      16,20     14,24     8,20      12,26     11,29     8,20      7,13      10,28
4,14      1,17      7,33      4,36      2,26      13,27     5,35      2,26      2,32      3,35      3,33      3,35      2,26      12,26     4,36      2,26      7,13      7,31
5,13      4,14      7,33      4,36      2,26      14,26     23,17     2,26      8,26      3,35      17,19     22,16     2,26      12,26     6,34      2,26      7,13      10,28
9,9       4,14      8,32      5,35      8,20      17,23     14,26     8,20      18,16     5,33      14,22     12,26     8,20      12,26     10,30     8,20      7,13      9,29
